x,y,state
0.468750,0.375000,1
0.468750,0.343750,0
0.468750,0.312500,1
0.062500,0.625000,0
0.031250,0.593750,1
0.031250,0.585938,0
0.031250,0.578125,0
0.250000,0.296875,2
0.375000,0.234375,2
0.437500,0.234375,2
0.125000,0.593750,0
0.000000,0.718750,0
0.375000,0.343750,1
0.062500,0.601562,0
0.437500,0.281250,1
0.031250,0.687500,1
0.023438,0.601562,0
0.062500,0.656250,1
0.406250,0.312500,1
0.437500,0.125000,0
0.250000,0.312500,0
0.187500,0.375000,1
0.000000,0.562500,0
0.125000,0.437500,0
0.062500,0.500000,0
0.406250,0.375000,2
0.250000,0.156250,0
0.031250,0.375000,0
0.250000,0.375000,0
0.500000,0.125000,1
0.031250,0.580078,2
0.125000,0.500000,1
0.000000,0.625000,0
0.031250,0.726562,2
0.250000,0.187500,1
0.000000,0.437500,0
0.062500,0.375000,1
0.015625,0.582031,1
0.125000,0.312500,2
0.023438,0.578125,0
0.437500,0.312500,0
0.375000,0.375000,0
0.023438,0.605469,1
0.250000,0.500000,1
0.000000,0.750000,0
0.125000,0.625000,1
0.031250,0.718750,1
0.062500,0.687500,1
0.375000,0.000000,1
0.406250,0.343750,0
0.250000,0.125000,1
0.125000,0.250000,0
0.000000,0.375000,0
0.375000,0.312500,0
0.187500,0.500000,2
0.000000,0.687500,0
0.250000,0.437500,1
0.125000,0.562500,1
0.093750,0.250000,0
0.125000,0.375000,1
0.250000,0.250000,0
0.000000,0.500000,0
0.015625,0.589844,1
0.500000,0.000000,0
0.062500,0.437500,0
0.500000,0.375000,1
0.375000,0.500000,0
0.250000,0.625000,1
0.125000,0.750000,1
0.000000,0.875000,0
0.062500,0.812500,0
0.125000,0.187500,0
0.062500,0.250000,0
0.125000,0.125000,0
0.000000,0.250000,0
0.062500,0.187500,1
0.000000,0.521484,0
0.125000,0.062500,0
0.000000,0.187500,1
0.062500,0.125000,2
0.000000,0.593750,0
0.250000,0.343750,0
0.375000,0.156250,0
0.000000,0.531250,0
0.187500,0.343750,2
0.250000,0.281250,0
0.250000,0.523438,1
0.000000,0.656250,0
0.000000,0.601562,1
0.375000,0.281250,0
0.062500,0.593750,1
0.125000,0.531250,0
0.031250,0.570312,1
0.406250,0.250000,1
0.250000,0.515625,1
0.031250,0.734375,0
0.023438,0.703125,1
0.437500,0.437500,2
0.125000,0.000000,0
0.000000,0.125000,1
0.500000,0.312500,1
0.125000,0.687500,0
0.062500,0.750000,0
0.000000,0.812500,1
0.250000,0.562500,0
0.375000,0.437500,1
0.023438,0.640625,1
0.437500,0.375000,1
0.468750,0.351562,1
1.000000,0.250000,1
0.187500,0.312500,1
0.500000,0.750000,1
0.023438,0.577148,2
0.015625,0.671875,0
0.250000,1.000000,1
0.750000,0.500000,1
1.000000,0.187500,1
0.187500,0.250000,0
0.500000,0.687500,0
0.437500,0.000000,1
0.750000,0.437500,2
0.250000,0.218750,0
0.031250,0.437500,2
0.187500,0.281250,2
1.000000,0.125000,1
0.187500,0.187500,0
0.500000,0.625000,1
0.250000,0.875000,0
0.125000,1.000000,1
0.750000,0.375000,0
0.625000,0.500000,1
1.000000,0.570312,1
0.500000,0.570312,0
0.375000,0.250000,0
0.000000,0.570312,0
1.000000,0.585938,1
0.000000,0.515625,0
0.000000,0.523438,0
0.375000,0.125000,1
1.000000,1.000000,0
0.125000,0.515625,0
0.062500,0.578125,0
0.484375,0.343750,1
0.406250,0.234375,0
0.312500,0.437500,0
0.000000,0.000000,0
0.500000,0.585938,0
0.312500,0.406250,2
1.000000,0.523438,0
0.000000,0.519531,1
1.000000,0.750000,0
0.500000,0.523438,1
0.000000,0.585938,0
0.750000,0.359375,2
0.000000,1.000000,0
0.007812,0.656250,0
0.062500,0.521484,0
0.187500,0.062500,0
0.500000,0.500000,0
0.250000,0.750000,1
0.062500,0.576172,1
0.125000,0.875000,0
0.625000,0.375000,0
0.750000,0.250000,2
0.406250,0.218750,1
0.250000,0.000000,0
0.562500,0.437500,0
0.007812,0.687500,0
0.500000,0.531250,1
0.500000,1.000000,1
0.015625,0.812500,1
0.125000,0.542969,2
1.000000,0.500000,0
0.015625,0.687500,1
1.000000,0.375000,1
0.437500,0.187500,0
0.062500,0.507812,1
0.750000,0.625000,0
0.000000,0.597656,0
0.187500,0.437500,1
0.500000,0.875000,2
0.375000,0.515625,1
1.000000,0.000000,0
0.250000,0.640625,2
0.312500,0.500000,0
0.000000,0.062500,1
0.062500,0.539062,0
0.437500,0.218750,1
0.750000,0.656250,0
0.500000,0.347656,0
1.000000,0.625000,0
0.250000,0.718750,2
0.625000,0.343750,0
0.406250,0.187500,2
0.562500,0.406250,2
0.015625,1.000000,1
1.000000,0.687500,0
0.437500,0.156250,2
0.750000,0.593750,2
0.015625,0.656250,1
1.000000,0.343750,0
0.093750,0.437500,2
0.250000,0.656250,0
0.562500,0.343750,0
0.500000,0.406250,0
0.015625,0.875000,0
1.000000,0.562500,0
0.187500,0.156250,2
0.500000,0.593750,1
0.031250,0.605469,2
0.750000,0.343750,0
0.007812,0.671875,2
0.015625,0.577148,2
0.500000,0.515625,1
0.000000,0.578125,1
0.062500,0.515625,1
0.093750,0.375000,0
0.250000,0.593750,1
0.125000,0.718750,0
0.500000,0.343750,0
0.031250,0.812500,1
0.007812,0.718750,0
0.187500,0.125000,0
0.500000,0.562500,1
0.062500,1.000000,1
0.250000,0.812500,2
0.031250,0.574219,1
0.750000,0.312500,1
0.468750,0.218750,0
0.625000,0.437500,0
0.125000,0.521484,2
0.031250,0.601562,0
0.406250,0.281250,0
0.250000,0.062500,2
0.562500,0.500000,2
0.250000,0.687500,0
