x,y,f
0.401042,0.088542,-3.871235
0.411458,0.088542,-3.741091
0.421875,0.088542,-3.610947
0.432292,0.088542,-3.480803
0.442708,0.088542,-3.423372
0.453125,0.088542,-3.438652
0.463542,0.088542,-3.453932
0.473958,0.088542,-3.469212
0.484375,0.088542,-3.484492
0.494792,0.088542,-3.499773
0.505208,0.088542,-3.496102
0.515625,0.088542,-3.473481
0.526042,0.088542,-3.450859
0.536458,0.088542,-3.428238
0.546875,0.088542,-3.405616
0.557292,0.088542,-3.382995
0.567708,0.088542,-3.360374
0.578125,0.088542,-3.337752
0.588542,0.088542,-3.315131
0.598958,0.088542,-3.292509
0.609375,0.088542,-3.269888
0.619792,0.088542,-3.247267
0.630208,0.088542,-3.224645
0.640625,0.088542,-3.202024
0.651042,0.088542,-3.179402
0.661458,0.088542,-3.156781
0.671875,0.088542,-3.134159
0.682292,0.088542,-3.111538
0.692708,0.088542,-3.088917
0.703125,0.088542,-3.066295
0.713542,0.088542,-3.043674
0.723958,0.088542,-3.021052
0.734375,0.088542,-2.998431
0.744792,0.088542,-2.975810
0.755208,0.088542,-2.953188
0.765625,0.088542,-2.930567
0.776042,0.088542,-2.907945
0.786458,0.088542,-2.885324
0.796875,0.088542,-2.862703
0.807292,0.088542,-2.840081
0.817708,0.088542,-2.817460
0.828125,0.088542,-2.794838
0.838542,0.088542,-2.772217
0.848958,0.088542,-2.749595
0.859375,0.088542,-2.726974
0.869792,0.088542,-2.704353
0.880208,0.088542,-2.681731
0.890625,0.088542,-2.659110
0.901042,0.088542,-2.636488
0.911458,0.088542,-2.613867
0.921875,0.088542,-2.591246
0.932292,0.088542,-2.568624
0.942708,0.088542,-2.546003
0.953125,0.088542,-2.523381
0.963542,0.088542,-2.500760
0.973958,0.088542,-2.478139
0.984375,0.088542,-2.455517
0.994792,0.088542,-2.432896
0.005208,0.098958,-6.387505
0.015625,0.098958,-6.256573
0.026042,0.098958,-6.125642
0.036458,0.098958,-5.994710
0.046875,0.098958,-5.863778
0.057292,0.098958,-5.732847
0.067708,0.098958,-5.601915
0.078125,0.098958,-5.470984
0.088542,0.098958,-5.340052
