x,y,f
0.671875,0.026042,-0.384751
0.682292,0.026042,-0.440763
0.692708,0.026042,-0.496776
0.703125,0.026042,-0.552789
0.713542,0.026042,-0.608802
0.723958,0.026042,-0.664814
0.734375,0.026042,-0.720827
0.744792,0.026042,-0.776840
0.755208,0.026042,-0.832853
0.765625,0.026042,-0.888865
0.776042,0.026042,-0.944878
0.786458,0.026042,-1.000891
0.796875,0.026042,-1.056903
0.807292,0.026042,-1.112916
0.817708,0.026042,-1.168929
0.828125,0.026042,-1.224942
0.838542,0.026042,-1.280954
0.848958,0.026042,-1.336967
0.859375,0.026042,-1.392980
0.869792,0.026042,-1.448993
0.880208,0.026042,-1.505005
0.890625,0.026042,-1.561018
0.901042,0.026042,-1.617031
0.911458,0.026042,-1.673044
0.921875,0.026042,-1.729056
0.932292,0.026042,-1.785069
0.942708,0.026042,-1.841082
0.953125,0.026042,-1.897095
0.963542,0.026042,-1.953107
0.973958,0.026042,-2.009120
0.984375,0.026042,-2.065133
0.994792,0.026042,-2.121146
0.005208,0.036458,-3.981181
0.015625,0.036458,-3.834445
0.026042,0.036458,-3.687708
0.036458,0.036458,-3.540971
0.046875,0.036458,-3.394234
0.057292,0.036458,-3.247497
0.067708,0.036458,-3.100761
0.078125,0.036458,-2.954024
0.088542,0.036458,-2.807287
0.098958,0.036458,-2.660550
0.109375,0.036458,-2.513813
0.119792,0.036458,-2.367077
0.130208,0.036458,-2.151444
0.140625,0.036458,-1.866915
0.151042,0.036458,-1.582386
0.161458,0.036458,-1.297857
0.171875,0.036458,-1.013328
0.182292,0.036458,-0.728799
0.192708,0.036458,-0.444271
0.203125,0.036458,-0.159742
0.213542,0.036458,0.124787
0.223958,0.036458,0.409316
0.234375,0.036458,0.693845
0.244792,0.036458,0.978374
0.255208,0.036458,1.109775
0.265625,0.036458,1.088049
0.276042,0.036458,1.066322
0.286458,0.036458,1.044596
0.296875,0.036458,1.022869
0.307292,0.036458,1.001143
0.317708,0.036458,0.979417
0.328125,0.036458,0.957690
0.338542,0.036458,0.935964
0.348958,0.036458,0.914237
0.359375,0.036458,0.892511
0.369792,0.036458,0.870785
0.380208,0.036458,0.849058
0.390625,0.036458,0.827332
0.401042,0.036458,0.805606
0.411458,0.036458,0.783879
0.421875,0.036458,0.762153
0.432292,0.036458,0.740426
0.442708,0.036458,0.718700
0.453125,0.036458,0.696974
0.463542,0.036458,0.675247
0.473958,0.036458,0.653521
0.484375,0.036458,0.631795
0.494792,0.036458,0.610068
0.505208,0.036458,0.571824
0.515625,0.036458,0.517063
0.526042,0.036458,0.462302
0.536458,0.036458,0.407541
0.546875,0.036458,0.352779
0.557292,0.036458,0.298018
0.567708,0.036458,0.243257
0.578125,0.036458,0.188496
0.588542,0.036458,0.133734
0.598958,0.036458,0.078973
0.609375,0.036458,0.024212
0.619792,0.036458,-0.030549
0.630208,0.036458,-0.085311
0.640625,0.036458,-0.140072
0.651042,0.036458,-0.194833
0.661458,0.036458,-0.249594
0.671875,0.036458,-0.304356
0.682292,0.036458,-0.359117
0.692708,0.036458,-0.413878
0.703125,0.036458,-0.468639
0.713542,0.036458,-0.523401
0.723958,0.036458,-0.578162
0.734375,0.036458,-0.632923
0.744792,0.036458,-0.687684
0.755208,0.036458,-0.742445
0.765625,0.036458,-0.797207
0.776042,0.036458,-0.851968
0.786458,0.036458,-0.906729
0.796875,0.036458,-0.961490
0.807292,0.036458,-1.016252
0.817708,0.036458,-1.071013
0.828125,0.036458,-1.125774
0.838542,0.036458,-1.180535
0.848958,0.036458,-1.235297
0.859375,0.036458,-1.290058
0.869792,0.036458,-1.344819
0.880208,0.036458,-1.399580
0.890625,0.036458,-1.454342
0.901042,0.036458,-1.509103
0.911458,0.036458,-1.563864
0.921875,0.036458,-1.618625
0.932292,0.036458,-1.673387
0.942708,0.036458,-1.728148
0.953125,0.036458,-1.782909
0.963542,0.036458,-1.837670
0.973958,0.036458,-1.892432
0.984375,0.036458,-1.947193
0.994792,0.036458,-2.001954
0.005208,0.046875,-3.985813
0.015625,0.046875,-3.830059
0.026042,0.046875,-3.674305
0.036458,0.046875,-3.518551
0.046875,0.046875,-3.362797
0.057292,0.046875,-3.207043
0.067708,0.046875,-3.051290
0.078125,0.046875,-2.895536
0.088542,0.046875,-2.739782
0.098958,0.046875,-2.584028
0.109375,0.046875,-2.428274
0.119792,0.046875,-2.272520
0.130208,0.046875,-2.052604
0.140625,0.046875,-1.768524
0.151042,0.046875,-1.484445
0.161458,0.046875,-1.200366
0.171875,0.046875,-0.916286
0.182292,0.046875,-0.632207
0.192708,0.046875,-0.348128
0.203125,0.046875,-0.064048
0.213542,0.046875,0.220031
0.223958,0.046875,0.504110
0.234375,0.046875,0.788190
0.244792,0.046875,1.072269
0.255208,0.046875,1.202739
0.265625,0.046875,1.179599
0.276042,0.046875,1.156459
0.286458,0.046875,1.133319
0.296875,0.046875,1.110179
0.307292,0.046875,1.087039
0.317708,0.046875,1.063899
0.328125,0.046875,1.040759
0.338542,0.046875,1.017619
0.348958,0.046875,0.994479
0.359375,0.046875,0.971339
0.369792,0.046875,0.948199
0.380208,0.046875,0.925060
0.390625,0.046875,0.901920
0.401042,0.046875,0.878780
0.411458,0.046875,0.855640
0.421875,0.046875,0.832500
0.432292,0.046875,0.809360
0.442708,0.046875,0.786220
0.453125,0.046875,0.763080
0.463542,0.046875,0.739940
0.473958,0.046875,0.716800
0.484375,0.046875,0.693660
0.494792,0.046875,0.670520
0.505208,0.046875,0.632195
0.515625,0.046875,0.578686
0.526042,0.046875,0.525176
0.536458,0.046875,0.471666
0.546875,0.046875,0.418156
0.557292,0.046875,0.364647
