wala,wac,n0,k_term
185.0,3.981,548,1
186.0,4.328,5575,34
186.0,4.799,1700,8
191.0,5.338,123,0
231.0,5.958,32,0
185.0,3.943,216,1
185.0,4.345,3093,20
184.0,4.796,2255,15
188.0,5.296,253,1
185.0,4.002,80,1
184.0,4.384,1479,8
184.0,4.806,3261,22
185.0,5.292,495,2
222.0,5.934,50,1
183.0,4.452,771,8
183.0,4.821,3037,16
185.0,5.291,773,9
233.0,6.463,32,0
212.0,5.934,83,0
183.0,4.507,695,9
182.0,4.826,4146,31
184.0,5.284,780,4
215.0,5.929,69,1
185.0,3.967,49,0
236.0,6.433,37,0
181.0,4.499,801,10
181.0,4.826,4909,28
182.0,5.286,700,6
205.0,5.977,72,0
240.0,6.506,33,0
179.0,4.316,33,25
180.0,4.435,1909,20
180.0,4.809,4544,25
183.0,5.295,436,2
219.0,5.91,73,0
182.0,4.038,25,0
249.0,6.45,27,0
178.0,3.874,77,33
178.0,4.267,25,6
179.0,4.421,3623,18
179.0,4.794,3609,20
182.0,5.308,250,0
213.0,5.963,63,4
181.0,4.048,84,0
259.0,6.435,29,1
177.0,3.873,137,32
177.0,4.39,45,8
177.0,4.396,4807,28
178.0,4.784,3307,36
183.0,5.331,244,0
215.0,5.89,56,1
178.0,4.022,236,0
176.0,3.844,137,13
176.0,3.999,1776,17
176.0,4.338,5253,42
177.0,4.796,1260,14
191.0,5.357,170,1
236.0,5.937,49,1
176.0,3.392,57,6
175.0,3.363,133,7
175.0,3.846,131,13
175.0,3.875,3893,27
176.0,4.294,5562,49
178.0,4.838,579,0
191.0,5.377,127,0
238.0,5.954,56,2
226.0,6.469,55,1
174.0,3.429,186,10
174.0,3.827,135,11
174.0,3.866,5904,30
175.0,4.295,3895,22
177.0,4.829,493,4
186.0,5.394,87,1
225.0,6.016,33,1
175.0,3.65,39,0
221.0,6.522,25,0
173.0,3.391,193,6
173.0,3.837,120,10
174.0,3.852,6809,34
174.0,4.29,4272,22
178.0,4.85,352,1
192.0,5.399,94,0
247.0,6.491,26,0
174.0,3.617,69,0
230.0,5.943,45,0
173.0,3.392,292,17
172.0,3.863,110,4
173.0,3.845,6308,58
173.0,4.295,2549,20
178.0,4.855,269,1
194.0,5.431,69,2
227.0,6.497,29,0
172.0,3.658,76,1
173.0,2.986,36,3
219.0,5.893,49,1
171.0,3.345,455,21
172.0,3.852,55,2
172.0,3.661,179,0
172.0,3.829,7367,59
172.0,4.298,2249,18
180.0,4.901,212,0
196.0,5.375,93,0
229.0,5.966,30,0
172.0,3.063,50,3
179.0,4.803,81,4
180.0,4.815,26,0
177.0,4.766,44,0
178.0,4.767,25,0
179.0,4.788,60,1
179.0,4.826,34,0
179.0,4.784,55,0
272.0,6.007,37,0
271.0,6.024,25,1
147.0,3.75,31,0
146.0,3.75,47,1
145.0,3.75,49,1
145.0,4.25,28,0
144.0,3.75,75,0
144.0,4.25,48,0
143.0,3.75,50,0
143.0,4.25,38,0
142.0,3.75,46,0
142.0,4.25,30,0
141.0,3.75,55,1
142.0,4.25,26,0
140.0,3.75,53,0
139.0,3.75,44,0
138.0,3.75,28,0
264.0,6.38,35,1
173.0,3.939,31,0
173.0,3.902,70,1
173.0,3.866,29,0
173.0,3.876,77,1
173.0,4.263,41,0
173.0,4.27,34,2
174.0,4.282,168,1
173.0,4.285,123,0
174.0,4.282,151,0
177.0,4.795,62,0
178.0,4.856,26,0
136.0,3.25,27,0
135.0,3.25,54,0
134.0,3.25,74,0
134.0,3.75,27,0
135.0,4.25,30,0
133.0,3.25,54,0
132.0,3.25,44,0
131.0,3.25,69,0
131.0,3.75,56,0
132.0,4.25,29,0
130.0,3.25,42,0
130.0,3.75,71,1
130.0,4.25,46,0
129.0,3.25,60,0
129.0,3.75,54,0
130.0,4.25,48,1
128.0,3.25,81,0
128.0,3.75,74,0
129.0,4.25,66,0
127.0,3.25,60,0
127.0,3.75,56,0
128.0,4.25,50,0
126.0,3.25,34,0
126.0,3.75,37,0
127.0,4.25,33,0
156.0,3.75,33,0
125.0,3.25,34,0
125.0,3.75,61,0
126.0,4.25,29,0
124.0,3.25,27,0
124.0,3.75,43,0
123.0,3.25,41,0
123.0,3.75,44,0
124.0,4.25,25,0
122.0,3.25,37,1
122.0,3.75,38,0
121.0,3.25,44,0
121.0,3.75,43,0
120.0,3.25,41,1
120.0,3.75,48,0
119.0,3.75,37,1
118.0,3.25,26,0
118.0,3.75,43,0
117.0,3.25,64,1
116.0,3.25,44,0
115.0,3.25,45,0
116.0,3.75,30,0
114.0,3.25,37,0
114.0,3.75,51,0
113.0,3.25,25,0
113.0,3.75,55,0
112.0,3.25,29,0
112.0,3.75,43,1
113.0,4.5,29,0
113.0,4.25,40,0
112.0,3.75,45,0
112.0,4.25,26,0
110.0,3.75,51,0
109.0,3.75,39,0
110.0,4.25,27,0
127.0,3.758,50,0
123.0,3.754,26,0
123.0,3.75,36,0
119.0,3.489,29,0
119.0,3.428,30,0
119.0,3.444,33,0
118.0,3.373,46,0
117.0,3.369,87,3
117.0,3.366,55,0
118.0,3.348,25,0
117.0,3.364,71,0
116.0,3.323,31,0
116.0,3.303,34,0
115.0,3.326,42,0
115.0,3.295,43,0
115.0,3.326,54,0
114.0,3.309,60,0
112.0,3.785,43,0
111.0,3.849,36,0
111.0,3.834,35,0
172.0,3.879,93,2
172.0,3.864,90,0
172.0,3.858,162,1
172.0,4.26,132,0
172.0,4.259,73,0
172.0,4.262,67,0
172.0,3.852,41,0
172.0,3.817,95,0
172.0,4.303,46,1
172.0,4.274,52,0
172.0,4.262,67,0
109.0,3.865,35,1
109.0,3.85,44,0
109.0,3.81,26,0
108.0,3.839,32,0
108.0,3.8,25,0
107.0,3.871,29,0
107.0,3.894,27,0
107.0,3.79,28,0
106.0,3.833,31,0
106.0,3.83,48,0
105.0,3.839,41,1
104.0,3.763,29,0
104.0,3.783,28,1
103.0,3.797,38,1
102.0,3.86,26,0
101.0,3.864,27,0
76.0,3.515,37,0
76.0,3.46,43,0
98.0,4.466,26,0
96.0,4.49,27,1
90.0,4.923,29,0
85.0,4.465,27,0
85.0,4.406,32,0
85.0,4.449,31,0
83.0,4.018,42,0
82.0,3.994,33,0
81.0,3.952,41,0
80.0,3.506,47,0
80.0,3.519,32,0
80.0,3.993,26,0
80.0,3.956,26,0
77.0,3.485,25,0
108.0,3.75,29,0
107.0,3.75,38,0
178.0,4.477,27,0
185.0,4.909,30,0
185.0,5.273,26,0
175.0,4.351,34,1
172.0,3.75,47,0
171.0,3.75,49,0
