wala,wac,n0,k_term
267.0,6.333,13518.0,13305
268.0,6.785,1267.0,1245
267.0,7.375,110.0,109
267.0,4.565,106.0,88
268.0,4.954,326.0,302
266.0,5.658,7802.0,7258
266.0,5.976,18820.0,18269
266.0,6.422,6586.0,6320
266.0,6.836,799.0,791
266.0,4.615,88.0,81
266.0,5.024,442.0,422
265.0,5.592,8572.0,8120
265.0,5.882,30784.0,28593
265.0,6.352,7663.0,7575
265.0,6.798,1014.0,983
265.0,4.558,98.0,88
265.0,5.031,602.0,537
264.0,5.491,10876.0,10519
264.0,5.853,22947.0,22197
264.0,6.357,4742.0,4646
265.0,6.805,316.0,314
264.0,4.14,37.0,29
265.0,4.493,122.0,110
264.0,5.026,680.0,642
263.0,5.509,9942.0,9597
263.0,5.853,25361.0,24664
263.0,6.316,12539.0,12333
264.0,6.81,1227.0,1194
262.0,7.375,184.0,183
263.0,4.497,78.0,71
263.0,5.074,265.0,252
262.0,5.482,2626.0,2522
262.0,5.969,16994.0,16287
262.0,6.377,18936.0,18491
261.0,6.808,4911.0,4809
261.0,7.306,367.0,360
264.0,4.498,41.0,36
262.0,4.987,135.0,127
262.0,5.616,1002.0,970
261.0,6.126,8885.0,8710
261.0,6.434,17628.0,17258
261.0,6.827,4985.0,4898
260.0,7.336,515.0,506
261.0,5.127,141.0,135
264.0,5.635,1363.0,1323
260.0,6.101,10504.0,10236
260.0,6.419,18304.0,17700
261.0,6.817,4517.0,4401
260.0,7.281,509.0,500
260.0,5.134,217.0,206
259.0,5.697,1984.0,1855
259.0,6.018,13417.0,12847
259.0,6.393,12777.0,12292
259.0,6.804,2739.0,2638
258.0,7.625,114.0,114
260.0,5.13,152.0,146
258.0,5.643,5469.0,5234
258.0,6.005,14570.0,14107
258.0,6.4,7715.0,7571
259.0,6.846,1585.0,1546
257.0,7.375,101.0,98
259.0,5.042,417.0,389
257.0,5.644,5414.0,5093
257.0,5.976,12892.0,12569
257.0,6.388,4705.0,4566
257.0,6.832,1086.0,1054
261.0,7.5,101.0,100
256.0,5.142,411.0,385
256.0,5.628,7360.0,7132
256.0,5.979,15915.0,15317
256.0,6.376,4721.0,4539
256.0,6.792,963.0,934
255.0,5.159,407.0,366
255.0,5.605,6940.0,6493
255.0,5.972,12576.0,12305
255.0,6.388,3304.0,3243
255.0,6.794,769.0,758
254.0,5.16,464.0,435
254.0,5.619,7816.0,7322
254.0,5.96,13273.0,12824
254.0,6.384,2775.0,2641
254.0,6.77,587.0,567
254.0,5.119,417.0,404
253.0,5.546,9731.0,9133
253.0,5.954,12435.0,12125
253.0,6.412,2421.0,2363
253.0,6.95,499.0,484
252.0,5.008,324.0,310
252.0,5.604,9357.0,8764
252.0,5.978,15914.0,15452
252.0,6.406,4074.0,3983
252.0,6.807,898.0,875
252.0,5.139,338.0,312
251.0,5.646,7026.0,6694
251.0,6.028,16341.0,15644
251.0,6.405,4850.0,4767
252.0,6.871,641.0,615
260.0,4.74,27.0,26
253.0,5.156,661.0,612
250.0,5.644,11034.0,10598
250.0,6.012,16586.0,15916
250.0,6.44,4085.0,3994
250.0,6.834,531.0,523
249.0,5.116,688.0,644
249.0,5.575,11996.0,11638
249.0,5.984,11420.0,11075
249.0,6.389,2551.0,2514
254.0,6.797,445.0,436
249.0,7.375,125.0,124
248.0,5.08,678.0,653
248.0,5.608,15451.0,14974
248.0,6.0,12163.0,11746
248.0,6.448,2753.0,2727
248.0,6.84,512.0,505
247.0,5.105,174.0,165
247.0,5.628,11131.0,10544
247.0,5.978,13628.0,13255
247.0,6.431,3335.0,3275
247.0,6.826,468.0,448
247.0,5.058,212.0,199
246.0,5.604,7228.0,6885
246.0,5.932,13215.0,12701
246.0,6.335,4372.0,4223
246.0,6.815,492.0,472
258.0,4.96,71.0,68
246.0,5.647,5470.0,5243
245.0,6.017,11174.0,10790
245.0,6.405,3733.0,3591
246.0,6.793,927.0,886
246.0,5.058,140.0,123
245.0,5.63,4538.0,4336
244.0,6.087,14307.0,13825
244.0,6.448,10053.0,9795
244.0,6.819,2016.0,1986
244.0,5.125,44.0,43
243.0,5.676,1813.0,1745
243.0,6.052,7299.0,6979
243.0,6.435,10550.0,10360
243.0,6.817,1928.0,1890
245.0,4.869,73.0,67
242.0,5.642,3099.0,3011
242.0,6.064,10074.0,9802
242.0,6.449,7119.0,6885
242.0,6.823,2488.0,2418
259.0,7.464,125.0,123
242.0,4.907,51.0,47
241.0,5.652,3132.0,3026
241.0,6.04,11617.0,11336
241.0,6.399,12024.0,11869
241.0,6.814,1520.0,1461
241.0,5.661,1789.0,1728
240.0,6.041,9130.0,8827
240.0,6.417,15861.0,15557
240.0,6.832,2920.0,2865
241.0,5.683,1046.0,1011
239.0,6.061,5392.0,5173
239.0,6.46,19409.0,19117
239.0,6.833,5262.0,5064
239.0,7.405,68.0,68
239.0,5.633,313.0,305
239.0,6.056,2528.0,2460
238.0,6.513,16307.0,15725
238.0,6.85,8834.0,8701
237.0,7.338,481.0,465
240.0,5.471,188.0,173
238.0,6.092,1339.0,1292
237.0,6.573,14771.0,14331
237.0,6.894,13028.0,12758
237.0,7.32,1239.0,1155
237.0,5.571,160.0,148
238.0,6.146,1502.0,1454
236.0,6.61,12075.0,11896
